Word_ID,Personal_ID,InputTime(s),TotalTime(s),BackspaceCount,KeystrokeCount,DelayTime(ms)
1,1,7.28,386.7,1,30,1500
2,1,6.29,386.7,2,33,3800
3,1,4.54,386.7,0,28,0
4,1,6.25,386.7,0,28,0
5,1,6.14,386.7,1,30,3200
6,1,5.42,386.7,0,27,0
7,1,8.17,386.7,4,39,3100
8,1,5.01,386.7,0,27,1100
9,1,5.74,386.7,1,31,2000
10,1,7.32,386.7,0,25,2500
11,1,5.77,386.7,0,26,1900
12,1,118.48,386.7,0,27,1200
13,1,5.5,386.7,0,28,3500
14,1,5.28,386.7,0,26,3000
15,1,5.43,386.7,0,29,3600
16,1,4.8,386.7,0,24,800
17,1,5.85,386.7,0,28,2700
18,1,6.09,386.7,1,31,0
19,1,5.14,386.7,0,27,3300
20,1,5.9,386.7,0,31,1000
21,1,5.47,386.7,0,27,3700
22,1,5.85,386.7,0,32,2600
23,1,5.29,386.7,0,27,2200
24,1,5.98,386.7,0,27,700
25,1,5.96,386.7,1,32,500
26,1,5.53,386.7,0,29,400
27,1,4.48,386.7,0,27,0
28,1,5.04,386.7,0,28,2100
29,1,5.1,386.7,0,26,4000
30,1,5.63,386.7,0,26,1700
31,1,5.96,386.7,0,26,3400
33,1,11.46,386.7,3,30,3900
34,1,18.92,386.7,13,60,600
35,1,4.57,386.7,0,26,1800
36,1,7.31,386.7,0,27,1300
37,1,11.21,386.7,2,34,2400
38,1,7.24,386.7,1,31,200
39,1,4.99,386.7,0,25,1400
40,1,5.03,386.7,0,27,2900
41,1,5.28,386.7,0,25,300
42,1,4.72,386.7,0,28,0
43,1,5.01,386.7,0,27,2800
44,1,4.56,386.7,1,25,2300
45,1,5.71,386.7,0,21,900